,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,hue,75,VN,1603601375,94,16.47,107.6,69.8,12.75
1,lourdes,0,FR,1603601376,87,43.1,-0.05,44.6,6.93
2,cabo san lucas,0,MX,1603601246,75,22.89,-109.91,81.0,1.01
3,anadyr,90,RU,1603601376,92,64.75,177.48,24.8,4.47
4,puerto ayora,99,EC,1603601376,95,-0.74,-90.35,66.99,1.99
5,east london,90,ZA,1603601376,100,-33.02,27.91,66.2,8.05
6,imola,33,IT,1603601376,95,44.35,11.72,55.0,5.01
7,mecca,0,SA,1603601376,44,21.43,39.83,82.42,2.98
8,mataura,95,NZ,1603601376,93,-46.19,168.86,53.01,1.99
9,kavieng,33,PG,1603601377,70,-2.57,150.8,84.43,4.61
10,watsa,100,CD,1603601377,96,3.04,29.54,66.52,0.96
11,punta arenas,90,CL,1603601226,100,-53.15,-70.92,41.0,9.17
12,saint-pierre,0,RE,1603601377,61,-21.34,55.48,78.8,21.92
13,rikitea,98,PF,1603601377,83,-23.12,-134.97,74.93,19.71
14,saint george,32,US,1603601377,39,37.1,-113.58,64.4,4.7
15,tasiilaq,68,GL,1603601377,97,65.61,-37.64,32.0,5.82
16,cockburn town,95,TC,1603601377,81,21.46,-71.14,83.17,22.68
17,saint-philippe,0,RE,1603601378,61,-21.36,55.77,78.8,21.92
18,ketchikan,1,US,1603601378,41,55.34,-131.65,39.2,4.7
19,rio gallegos,90,AR,1603601378,93,-51.62,-69.22,44.6,2.24
20,hilo,90,US,1603601378,74,19.73,-155.09,80.6,9.17
21,akyab,100,MM,1603601378,77,20.15,92.9,83.8,7.11
22,tuktoyaktuk,75,CA,1603601378,92,69.45,-133.04,23.0,17.22
23,hermanus,55,ZA,1603601379,87,-34.42,19.23,61.0,6.78
24,jamestown,90,US,1603601141,74,42.1,-79.24,39.99,3.94
25,ushuaia,75,AR,1603601083,75,-54.8,-68.3,42.8,5.88
26,ponta do sol,20,PT,1603601379,72,32.67,-17.1,64.4,9.17
27,vaini,75,TO,1603601379,88,-21.2,-175.2,75.2,10.29
28,coihaique,40,CL,1603601379,81,-45.58,-72.07,42.8,5.82
29,faanui,97,PF,1603601379,76,-16.48,-151.75,79.61,8.75
30,hobart,40,AU,1603601156,46,-42.88,147.33,60.01,12.75
31,bredasdorp,30,ZA,1603601379,77,-34.53,20.04,60.8,5.82
32,hithadhoo,29,MV,1603601379,76,-0.6,73.08,83.37,9.82
33,utica,75,US,1603601254,84,43.1,-75.23,37.4,4.54
34,yellowknife,40,CA,1603601380,78,62.46,-114.35,21.99,4.7
35,atuona,21,PF,1603601380,74,-9.8,-139.03,78.84,20.51
36,manutuke,48,NZ,1603601380,53,-38.68,177.92,75.0,4.0
37,nanortalik,100,GL,1603601380,89,60.14,-45.24,32.92,6.26
38,port macquarie,90,AU,1603601380,88,-31.43,152.92,66.2,9.17
39,puerto del rosario,40,ES,1603601380,73,28.5,-13.86,69.8,18.34
40,havoysund,97,NO,1603601380,79,71.0,24.66,35.6,14.99
41,narsaq,100,GL,1603601381,73,60.92,-46.05,24.8,4.7
42,cape town,75,ZA,1603601180,82,-33.93,18.42,61.0,4.7
43,qui nhon,95,VN,1603601381,80,13.77,109.23,81.12,12.15
44,carnarvon,75,AU,1603601381,69,-24.87,113.63,77.0,17.22
45,kirakira,72,SB,1603601381,77,-10.45,161.92,83.53,9.64
46,kahului,40,US,1603601381,48,20.89,-156.47,87.8,13.87
47,vila franca do campo,40,PT,1603601381,77,37.72,-25.43,64.4,5.82
48,touros,40,BR,1603601382,94,-5.2,-35.46,73.4,3.36
49,isparta,0,TR,1603601382,87,38.0,31.0,42.8,2.24
50,nome,90,US,1603601168,86,64.5,-165.41,37.4,5.82
51,butaritari,93,KI,1603601382,69,3.07,172.79,81.27,6.71
52,tagusao,82,PH,1603601382,76,9.19,117.81,82.58,6.69
53,samarai,82,PG,1603601382,78,-10.62,150.67,82.18,7.07
54,georgetown,40,MY,1603601346,79,5.41,100.34,84.2,6.93
55,port elizabeth,90,ZA,1603601382,88,-33.92,25.57,64.4,8.05
56,perry,75,US,1603601382,93,37.25,-83.2,53.6,4.76
57,koboko,99,UG,1603601382,88,3.41,30.96,68.61,0.63
58,barrow,90,US,1603601102,80,71.29,-156.79,30.2,16.11
